vendor_id,pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,rate_code,passenger_count,trip_distance,payment_type,fare_amount,extra,mta_tax,imp_surcharge,tip_amount,tolls_amount,total_amount,store_and_fwd_flag
CMT,1.231740179E9,1.231740349E9,-73.952074,40.749793,-73.952271,40.750256,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,1.236075078E9,1.236075089E9,-73.954059,40.770983,-73.954059,40.770983,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.241535936E9,1.241536705E9,-73.975806,40.757357,-73.960527,40.765536,,1,1.3,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.250863016E9,1.250863331E9,-73.980828,40.782147,-73.971495,40.786255,,1,0.7,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.246713603E9,1.246713636E9,-73.827681,40.724494,-73.830263,40.727167,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24090866E9,1.24090878E9,-73.97651,40.757542,-73.97619,40.757747,,1,0.01,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.23835038E9,1.23835044E9,-73.950363,40.779765,-73.950367,40.779778,,5,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.23867096E9,1.23867096E9,-73.978068,40.75332,-73.978107,40.75291,,5,0.02,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,1.231580072E9,1.231580078E9,-74.002385,40.726612,-74.002385,40.726612,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
DDS,1.233926871E9,1.233927842E9,-73.955718,40.77368,-73.987201,40.760783,,1,3.1,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.24867626E9,1.24867626E9,-73.918828,40.825095,-73.918828,40.825093,,1,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.23342966E9,1.23342972E9,-74.002138,40.724437,-74.001755,40.724838,,1,0.06,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.38555252E9,1.3855527E9,-180.0,-180.0,-180.0,-180.0,1,1,0.0,CSH,2.5,0.0,0.0,,0.0,0.0,2.5,
VTS,1.2353784E9,1.2353784E9,-73.915168,40.62658,-73.993883,40.768838,,1,0.06,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.25216964E9,1.2521697E9,-73.99013,40.736257,-73.99009,40.736247,,5,0.0,CSH,2.5,0.0,,,0.0,0.0,2.5,
CMT,1.234097223E9,1.234097271E9,-73.975159,40.733148,-73.974625,40.732989,,1,0.3,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.2407544E9,1.2407544E9,-73.9764,40.788138,-73.976235,40.788058,,1,0.03,CSH,2.5,0.0,,,0.0,0.0,2.5,
VTS,1.25458116E9,1.25458116E9,-73.991907,40.725913,-73.991943,40.725687,,1,0.02,CSH,2.5,0.0,,,0.0,0.0,2.5,
